username,trust_score_pcc
olasolo,4.265404089195941e-05
davemac,3.170096518177356e-05
marcamague55,0.0005554786058883686
normaelizabeth05,0.00033264251018689817
eric88,4.9705288058614355e-05
armelio,0.00011932875984122871
davidb23,0.00010297019296493042
cod1964,0.00027287884772941986
pacodelapaz,0.00011640440597165775
kimo,0.002126091265808975
ligiavisa,7.257115293658224e-05
rosec2,2.4743854370394182e-05
monserrat,2.4743854370394182e-05
fique,0.00010338760403528947
aries6,3.026463584437763e-05
marishka,0.00016797100418192916
ritasoledad60,0.00024276841608315136
adry52,0.00010982728609571605
mr_scott,0.0004367482683915745
lizguerra412,0.00017618536783736092
brizadeluz,0.00012016110482513432
meliza,3.582699493022925e-05
marirami22,7.499887803585315e-05
fulviaa,0.00011866292971238638
sonia_elizabeth,7.52319800735916e-05
daysi4you,3.582699493022925e-05
sonic440,0.0001339134415624399
patricia3223,8.214069386996269e-06
canada2020,8.214069386996269e-06
mirest,0.00017026305860475918
steve2154,0.00015539848130955979
cubacubacuba,0.0006567190234233566
erupay,0.0005548875123318285
joao1966,3.829690399883077e-05
ech,0.0008395210444269691
laura68,0.0016400089399960958
bigandre,0.00021080389186716226
mr07,0.00021080389186716226
optimisticaboutyou,0.00021080389186716226
cris83,0.00027318985065465865
uberlandis,0.0009126841318697884
tmj39,8.214069386996269e-06
luisra1103,8.214069386996269e-06
federico77,8.214069386996269e-06
mar86,8.214069386996269e-06
helenarus,5.0829687421051e-05
ptoufanidis,5.0829687421051e-05
valeriaval92,0.0001086337977767531
taisia,2.472518630899275e-05
de123,7.963093216797547e-05
valeriam1995,2.472518630899275e-05
romina2020,6.750445132830301e-05
marbella1997,2.472518630899275e-05
josefa,0.0006063082933094197
angi13,9.42990416076774e-05
mayra1960,0.0005554786058883686
lena78,0.0001589497717195419
tattam,2.0025532797521924e-05
vivi53,0.0007837427928055256
ginandtonic,0.0001266824635907372
janinerose,0.0003619966148772196
rania63,0.0006165368376879236
cameronm,0.0009226921188439573
adille,0.0006380435040280383
kathya,0.00016594238589267757
rosamelida,0.00016594238589267757
jimaorais,0.0019114807162710276
wem2022,7.780791093728747e-05
cesar327,3.490095971017755e-05
pitter,0.00010478464027033117
nayo,0.0002841794359654233
bryan4711,8.685811764638184e-05
mauricioarg,6.263409059132804e-05
vaudry44,0.0007009992519194936
alainreyes1982,4.3439951028311084e-05
donnacdm,0.00021645884879539266
johnnyp,6.483064480356897e-05
selwynq,0.0003552553464993659
radiomanwy9a,0.001839896963625017
hans_jurgen,0.00022650262313111415
littlestar,0.0017636318052179527
juangamez7004,1.4575871778763748e-05
posh,8.330000925961725e-06
ada2000,7.376968513194334e-06
nanalya,5.0829687421051e-05
marybela,4.161830399510571e-05
nohottentott,0.0002776972766514378
almi,5.0829687421051e-05
jorgerp70,0.0001950566720693251
toninors,0.0003398640137070773
yase,0.00030256433415304124
cunnetc12,0.0001792807871931383
lee89086,3.752685095022578e-05
franxisco793,2.9143910192761566e-05
eduardoluiscc,5.4589938413050644e-05
sky32,7.63499924966032e-05
spossob,1.189161849588392e-05
