,username,normalized_trust_score
1960,kimb2,0.02269028748602843
2599,yamilap,0.022672337607159584
2051,pierrej,0.02267170065405079
729,lupitap2,0.022604721572121608
1840,tris,0.022587489500722046
1447,fheexr,0.022545387703399023
2590,Lucica,0.022513384757558465
1302,lapastayab,0.02239489756377523
760,Achram,0.02238679041577632
2507,princesslhor,0.022328948876807347
2687,mrkzk,0.022301197895626568
488,janinerose,0.022277183667822078
1122,josemanuel,0.02224557876294774
2600,irishguy590,0.022174179811842935
2523,Rossita,0.02213418695155294
3264,triny,0.021938640766011007
2121,Stephen56,0.021918032641045616
1157,Juan,0.021865674550935264
1477,adrianl,0.021647750808316216
1268,MaryVelez,0.02155254190062237
2131,ceciln,0.021486494643994006
552,victorg2,0.021480079495370223
2586,ArmandoDj,0.021455286512738404
1345,MVB,0.021367081778596708
1756,ROSALIDIA,0.02135794481512232
1758,Gladis,0.02135794481512232
716,jacst73,0.02129214309114654
2435,Hachiko,0.021260664150773524
1331,cuevajessa,0.021257600887135707
1147,jossead,0.02123465135374737
317,martink2,0.021211913788723766
2781,Nataliagd,0.0209361014231579
587,Megonore_0110,0.020922134263864644
865,rohania,0.02086167162157115
1715,Sally,0.02086167162157115
2699,juanjogomes,0.020835284326971338
1542,anas2,0.020777870960504954
1879,MARIANITA,0.020756705190090898
1712,ivan1975,0.020569182422487137
2577,norlandoa,0.02050768759360879
3220,Paul1966,0.020501238947357368
257,Yamelihuiza,0.020498103216660638
448,Brizadeluz,0.020421715954951257
451,fulviaa,0.020407428995093235
2686,robn,0.020298999883078428
1154,hatsune_miku,0.020208802872694928
1842,anne75,0.02014001125417332
507,hans_jurgen,0.02010584303968385
1585,AHC77,0.02008153917308816
1150,Marven,0.020026680573285452
1333,matetd,0.019939422851560886
364,narci03,0.01991771711407503
907,Securitygirl18,0.019905067394239
2236,Beatriz09,0.019878870631342114
868,srjh1204,0.019862008013754553
2804,Timothy58,0.019855851177015292
3213,Diamela,0.019849836313580976
1810,williamh23,0.019838376650370224
845,FARH,0.019830551074377204
61,Geoconda,0.01979712463395858
435,cod1964,0.019724881408818683
2424,PieterBaan,0.019639498070574347
3135,M11,0.019528888880524044
1714,takaki,0.019493171311803184
26,MissB,0.01945614111118367
296,michelledavila_,0.019408113333588255
632,patico3,0.019399375509138384
2517,felipem,0.01938889714429003
1393,Savielizabeth07,0.01938459000560599
46,Tommy,0.01938417655720309
2956,kristijanr,0.019358929783944077
349,emir06,0.01929660037524211
2268,Spring,0.019268880619575678
1699,Tina0790,0.01924607714933014
282,Eve888,0.019239151814474647
3119,elena2,0.019216425189100984
1330,MaryJoy08,0.019199354533310894
10,FreeSpirit4Ever,0.01919154608471935
1805,Northernlady55709,0.019075723855536755
837,zakie,0.019047638458714263
236,Marycruz,0.01900768110896516
2237,carlosn23,0.018987102410357448
1610,friendsfornow,0.018982658660750953
2000,Tim17,0.01886926476251521
962,Gloryz,0.01886141510277256
1998,Mac969,0.018833914966862708
209,jorge1972,0.018825942402930222
806,yazminz,0.018819239859759185
1253,manuelr23,0.01881603400137206
1868,stubster,0.01881603400137206
1661,8c4t924,0.01881603400137206
1921,richardf2345,0.01881603400137206
1254,Craig,0.01881603400137206
1763,Carolina25,0.018808814170353697
3142,vanessaromano,0.018790525295571958
308,fridoline,0.018731222139799043
304,naturistic2,0.018731222139799043
799,Eunice929,0.01862150758532305
1172,Gleidis,0.01861628655569369
1455,Isabel1990,0.018572331691676432
2865,Danny02,0.018471542896336554
1187,Pepa2017,0.0184704766972705
127,Jean220892,0.018421169262377614
2074,michelled,0.018308250112782656
278,faouzi_90,0.01829513000255317
277,Richarvalenz,0.01829513000255317
1979,Davis721,0.01829513000255317
1918,Layforce,0.01829513000255317
276,nelsondavid,0.01829513000255317
235,Turqueza2016,0.01827858818332399
2293,makses,0.018220695495376804
3274,dianamaria123,0.018193555711283258
1456,mariaAx,0.018173582091428407
819,Alex1978,0.018169056814127102
265,jesse,0.018138228513080987
431,Normaelizabeth05,0.018049189571950713
1584,Dominic,0.017990884068145675
555,Zagato,0.017957673911512317
767,Mickie1954,0.01793987959774912
1807,Michaela,0.01789479263169842
475,Valeriaval92,0.017888044193262023
2066,vincents,0.01777404138523311
2065,elviso,0.01777404138523311
2621,missy32,0.01769384703094889
881,bonitacharlene,0.0176262799423444
1999,Dnorris1978,0.01762513626431813
2257,jeanp234,0.017604664479789162
1696,analidia,0.017598745390056878
1121,morenito,0.01756102002962873
2052,evelynr,0.017547647957083037
322,Vlatko,0.01753608380239096
607,user_95629,0.01751880799903803
2289,Luymila,0.017460672266483526
605,ANITA46,0.017423104648211486
63,Merimey,0.017423104648211486
1700,Yoley,0.017387982567401192
378,may,0.017327607475013686
1772,Peggy1217,0.01731246348325698
1296,ym0335,0.017194196781175588
791,Yaniuska,0.017177205560568946
335,Lookn4u,0.017171393793011105
964,mao,0.017122511679184643
909,mirai1212,0.017082295855655426
737,Tatiana1889,0.017082295855655426
225,Xanderbeach,0.01703974930827903
2889,erifa13,0.017025801453610667
1575,juancarlosi,0.017022215026008217
224,Kerem4,0.017007277023828364
401,asianguy,0.016956899753951715
1992,joseluisH,0.016920313727767727
1219,dmlo,0.016887635694159363
1183,Emely19,0.01683598357241444
1378,JOHAGORDON7,0.016743685843901623
1478,angelb2,0.0167263538156128
800,SweetFin,0.01665484791066313
1374,Rosalious,0.016646603751261185
3171,Kasee11,0.016638371582889395
48,Alex2345,0.01663544215406399
1218,Octavio76,0.01660154724196433
670,jhonnydiaz,0.016574911616079397
2902,cristinaf,0.01657144192906392
888,Evelynmina,0.01652698788113657
3144,Russa,0.01650013571260285
847,maeZ,0.016472817532384512
1619,dayanamorales,0.016430389070415094
983,Guiany,0.01634598038603276
481,Josefa,0.01625399394900749
2591,Tweetynot,0.016236977601111532
1727,millyc2,0.01622089934323036
1522,kamelf,0.016218143502366427
3065,jpinder1087,0.0162134440939692
1191,Nicolaslove,0.0162134440939692
1375,Annie213,0.016070825097998596
1624,latinbboy807,0.016006081996961803
1174,ateo22,0.015948402916763686
811,alejaavila,0.015908354653626597
